  Node  id  | Distance | Name
 1402744780 | 42285.11 | 
 1122256631 | 42336.51 | 
 1402744784 | 42391.30 | 
 1402744797 | 42445.36 | 
    8775056 | 42553.66 | 
  424328552 | 42557.11 | 
 1402744808 | 42585.69 | 
    8775058 | 42623.15 | 
    8775059 | 42693.79 | 
    8775061 | 42761.88 | 
    8775063 | 42812.93 | 
    8775064 | 42854.80 | 
  420341038 | 42875.30 | 
 1402703024 | 42900.36 | 
    8775066 | 42922.65 | 
 1402721205 | 42935.30 | 
 1402703017 | 42949.04 | 
    8775067 | 42972.57 | 
    8775069 | 43028.93 | 
 1402721199 | 43057.02 | 
 1402721197 | 43072.08 | 
    8775070 | 43087.71 | 
 1402721171 | 43160.00 | 
    8775071 | 43229.38 | 
    8775073 | 43246.06 | 
    8775074 | 43319.72 | 
    8775075 | 43394.98 | 
    8775077 | 43464.96 | 
    8775079 | 43546.67 | 
    8775080 | 43613.70 | 
    8775081 | 43686.05 | 
    8775035 | 43774.75 | 
    8775036 | 43863.70 | 
    8775037 | 43947.62 | 
    8775038 | 44035.25 | 
    8775039 | 44110.90 | 
    8775040 | 44193.77 | 
    8775041 | 44283.35 | 
    8775042 | 44375.35 | 
    8775043 | 44464.42 | 
    8775044 | 44551.47 | 
    8775045 | 44635.11 | 
    8775046 | 44728.68 | 
 1402668318 | 44773.88 | 
    8775047 | 44820.48 | 
 1402668305 | 44879.12 | 
    8775048 | 44937.38 | 
 1402668317 | 44987.30 | 
    8775052 | 45038.67 | 
    8775053 | 45133.29 | 
    8775054 | 45211.23 | 
    8774842 | 45299.66 | 
    8774841 | 45415.45 | 
    8774840 | 45540.46 | 
 1306267996 | 45570.37 | 
    8774839 | 45646.28 | 
    8774838 | 45750.37 | 
    8774837 | 45854.57 | 
    8774836 | 45977.05 | 
    8774835 | 46088.41 | 
    8774834 | 46200.62 | 
    8774893 | 46290.75 | 
    8774891 | 46378.88 | 
    8774890 | 46463.96 | 
    8774888 | 46569.32 | 
 1402804387 | 46615.98 | 
